id,name,url,group,eliminated,prize
1,Austria,AUT,C,TRUE,FALSE
2,Belgium,BEL,B,TRUE,FALSE
3,Croatia,CRO,D,TRUE,FALSE
4,Czechia,CZE,D,TRUE,FALSE
5,Denmark,DEN,B,TRUE,FALSE
6,England,ENG,D,FALSE,TRUE
7,Finland,FIN,B,TRUE,FALSE
8,France,FRA,F,TRUE,FALSE
9,Germany,GER,F,TRUE,FALSE
10,Hungary,HUN,F,TRUE,FALSE
11,Italy,ITA,A,FALSE,TRUE
12,Netherlands,NED,C,TRUE,FALSE
13,North Macedonia,MKD,C,TRUE,FALSE
14,Poland,POL,E,TRUE,FALSE
15,Portugal,POR,F,TRUE,FALSE
16,Russia,RUS,B,TRUE,FALSE
17,Scotland,SCO,D,TRUE,FALSE
18,Slovakia,SVK,E,TRUE,FALSE
19,Spain,ESP,E,TRUE,FALSE
20,Sweden,SWE,E,TRUE,FALSE
21,Switzerland,SUI,A,TRUE,FALSE
22,Turkey,TUR,A,TRUE,FALSE
23,Ukraine,UKR,C,TRUE,FALSE
24,Wales,WAL,A,TRUE,FALSE
