rank,team,url,euro2022,worldCup2022,worldCup2023,euro2024,euro2025,prizeCount,prizeTotal
1,England,ENG,£16,,£15,£15,£40,4,£86
2,Spain,ESP,,,£22,£40,£15,3,£77
3,Italy,ITA,£32,,,,,1,£32
3,Argentina,ARG,,£32,,,,1,£32
5,France,FRA,,£22,,,,1,£22
6,Croatia,CRO,,£10,,,,1,£10
6,Sweden,SWE,,,£10,,,1,£10
6,Portugal,POR,,,,£10,,1,£10
6,Poland,POL,,,,£10,,1,£10
6,Turkey,TUR,,,,£10,,1,£10
6,Georgia,GEO,,,,£10,,1,£10
6,Switzerland,SUI,,,,,£10,1,£10
13,Nigeria,NGA,,,£5,,,1,£5
13,Costa Rica,CRC,,,£5,,,1,£5
13,Vietnam,VIE,,,£5,,,1,£5
13,Iceland,ISL,,,,,£5,1,£5
13,Italy,ITA,,,,,£5,1,£5
13,Wales,WAL,,,,,£5,1,£5
19,Columbia,COL,,,£2,,,1,£2
