id,name,url,group,eliminated,prize
1,Albania,ALB,B,FALSE,FALSE
2,Austria,AUT,D,FALSE,FALSE
3,Belgium,BEL,E,FALSE,TRUE
4,Croatia,CRO,B,FALSE,TRUE
5,Czech Republic,CZE,F,FALSE,FALSE
6,Denmark,DEN,C,FALSE,TRUE
7,England,ENG,C,FALSE,TRUE
8,France,FRA,D,FALSE,FALSE
9,Georgia,GEO,F,FALSE,TRUE
10,Germany,GER,A,TRUE,FALSE
11,Hungary,HUN,A,FALSE,TRUE
12,Italy,ITA,B,FALSE,FALSE
13,Netherlands,NED,D,FALSE,FALSE
14,Poland,POL,D,FALSE,FALSE
15,Portugal,POR,F,FALSE,FALSE
16,Romania,ROU,E,FALSE,FALSE
17,Scotland,SCO,A,TRUE,TRUE
18,Serbia,SRB,C,TRUE,FALSE
19,Slovakia,SVK,E,FALSE,FALSE
20,Slovenia,SVN,C,FALSE,TRUE
21,Spain,ESP,B,FALSE,FALSE
22,Switzerland,SUI,A,FALSE,FALSE
23,Turkey,TUR,F,FALSE,FALSE
24,Ukraine,UKR,E,FALSE,FALSE
