id,name,url,group,eliminated,prize
1,Argentina,,,FALSE,FALSE
2,Australia,,,FALSE,FALSE
3,Brazil,,,FALSE,FALSE
4,Canada,,,FALSE,FALSE
5,Ecuador,,,FALSE,FALSE
6,Iran,,,FALSE,FALSE
7,Japan,,,FALSE,FALSE
8,Jordan,,,FALSE,FALSE
9,Korea Republic,,,FALSE,FALSE
10,Mexico,,,FALSE,FALSE
11,New Zealand,,,FALSE,FALSE
12,USA,,,FALSE,FALSE
13,Uzbekistan,,,FALSE,FALSE
14,,,,FALSE,FALSE
15,,,,FALSE,FALSE
16,,,,FALSE,FALSE
17,,,,FALSE,FALSE
18,,,,FALSE,FALSE
19,,,,FALSE,FALSE
20,,,,FALSE,FALSE
21,,,,FALSE,FALSE
22,,,,FALSE,FALSE
23,,,,FALSE,FALSE
24,,,,FALSE,FALSE
25,,,,FALSE,FALSE
26,,,,FALSE,FALSE
27,,,,FALSE,FALSE
28,,,,FALSE,FALSE
29,,,,FALSE,FALSE
30,,,,FALSE,FALSE
31,,,,FALSE,FALSE
32,,,,FALSE,FALSE
33,,,,FALSE,FALSE
34,,,,FALSE,FALSE
35,,,,FALSE,FALSE
36,,,,FALSE,FALSE
37,,,,FALSE,FALSE
38,,,,FALSE,FALSE
39,,,,FALSE,FALSE
40,,,,FALSE,FALSE
41,,,,FALSE,FALSE
42,,,,FALSE,FALSE
